Char,Lang1,Lang2,Lang3,Lang4,Lang5,Char,Singular,Multi: 147,Slovak: 16,French: 327,Spanish: 103,German: 5,Polish: 15
ÅÅ,4,,,,,ÅÅ,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
Ã€,1,,,,,Ã€,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ñƒ,2,,,,,Ñƒ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ï‚,2,,,,,Ï‚,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ï_…,1,,,,,ï_…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_ˆ,1,,,,,í_ˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_è,1,,,,,í_è,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ãê,2,,,,,Ãê,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ï_•,1,,,,,ï_•,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
íµ™,1,,,,,íµ™,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Íù,2,,,,,Íù,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ëœ,2,,,,,Ëœ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Å¡,0,2,,,,Å¡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ã ,1,2,3,4,,Ã ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â‰§,1,,,,,â‰§,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í·®,1,,,,,í·®,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Å±,4,,,,,Å±,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
íº…,1,,,,,íº…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ò‰,2,,,,,Ò‰,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í¸_,1,2,,,,í¸_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â_è,1,,,,,â_è,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
íº•,1,,,,,íº•,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âœ”,2,1,,,,âœ”,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_™,1,,,,,í_™,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â˜…,1,,,,,â˜…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸_,1,,,,,í¸_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_Ÿ,2,,,,,ï_Ÿ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Â¡,2,1,,,,Â¡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ï__,2,,,,,ï__,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
â€_,4,1,3,2,,â€_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_©,1,,,,,í_©,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸ª,2,1,,,,í¸ª,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Â±,2,,,,,Â±,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ä°,3,,,,,Ä°,3,FALSE,FALSE,FALSE,FALSE,1,FALSE
Î·,2,,,,,Î·,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
â˜º,1,2,,,,â˜º,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
__,1,,,,,__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ÃÅ,0,2,1,,,ÃÅ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ï_„,1,,,,,ï_„,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
å§‹,1,,,,,å§‹,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í±_,1,2,,,,í±_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ã‘,2,,,,,Ã‘,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Åê,1,,,,,Åê,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
_“,2,,,,,_“,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Íœ,1,2,,,,Íœ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ã¡,2,0,4,1,,Ã¡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Å ,0,2,,,,Å ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
âù_,1,2,,,,âù_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â™ª,1,,,,,â™ª,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í±®,1,,,,,í±®,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã±,2,0,,,,Ã±,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â˜•,1,,,,,â˜•,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¿¿,1,,,,,í¿¿,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â_‚,1,,,,,â_‚,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸…,1,,,,,í¸…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_‰,2,,,,,ï_‰,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ñ€,1,2,,,,Ñ€,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ã€‘,1,,,,,ã€‘,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´“,1,,,,,í´“,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ê’,1,,,,,Ê’,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸•,1,,,,,í¸•,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í°™,1,,,,,í°™,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ä›,0,,,,,Ä›,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
ï_Ÿ,2,,,,,ï_Ÿ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ù„,1,,,,,Ù„,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â€¡,2,,,,,â€¡,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í´£,1,,,,,í´£,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸¥,1,,,,,í¸¥,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ì§,2,,,,,Ì§,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Â_,2,,,,,Â_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
â_ª,1,,,,,â_ª,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_¯,2,,,,,ï_¯,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í¸µ,1,,,,,í¸µ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_Ÿ,1,,,,,í_Ÿ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â¶,1,2,,,,Â¶,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Î_,2,,,,,Î_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
âœ¿,2,,,,,âœ¿,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ç§€,1,,,,,ç§€,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_…,2,1,,,,í_…,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ã†,1,,,,,Ã†,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í±‰,1,,,,,í±‰,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ç›_,1,,,,,ç›_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã–,3,1,,,,Ã–,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Å›,4,,,,,Å›,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
â™¥,2,1,,,,â™¥,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í±©,1,,,,,í±©,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ãƒ_,1,,,,,ãƒ_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Å«,3,,,,,Å«,3,FALSE,FALSE,FALSE,FALSE,1,FALSE
í¿´,1,,,,,í¿´,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã¶,3,1,2,4,,Ã¶,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í·¸,1,2,,,,í·¸,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Å»,4,,,,,Å»,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
í_¿,1,,,,,í_¿,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âˆ€,1,,,,,âˆ€,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í°„,1,,,,,í°„,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_€,2,,,,,í_€,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í_‰,1,,,,,í_‰,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸ˆ,1,,,,,í¸ˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â”_,1,,,,,â”_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ã€Œ,1,,,,,ã€Œ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
_”,1,,,,,_”,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸˜,1,,,,,í¸˜,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â€œ,3,1,2,0,,â€œ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â„¢,1,2,,,,â„¢,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Â§,2,1,3,,,Â§,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ø¨,1,,,,,Ø¨,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´ª,1,,,,,í´ª,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_¯,2,,,,,í_¯,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ï_®,2,,,,,ï_®,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Î±,2,,,,,Î±,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Â·,2,1,,,,Â·,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ì¶,2,,,,,Ì¶,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í _,1,2,,,,í _,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ÏÅ,2,,,,,ÏÅ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Å‚,4,,,,,Å‚,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
Ã‡,1,4,,,,Ã‡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_ˆ,1,,,,,í_ˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ë‹,1,,,,,Ë‹,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
íµ_,1,,,,,íµ_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Å’,2,1,,,,Å’,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â—•,2,1,,,,â—•,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í±”,1,,,,,í±”,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã—,1,,,,,Ã—,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
æ˜_,1,,,,,æ˜_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â‰ ,1,,,,,â‰ ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã§,1,3,2,4,,Ã§,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
âè±,1,,,,,âè±,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â›_,1,,,,,â›_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_¿,1,,,,,í_¿,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã·,1,,,,,Ã·,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ÌÅ,1,2,,,,ÌÅ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¸ƒ,2,1,,,,í¸ƒ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ï_‰,1,,,,,ï_‰,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¶_,1,,,,,í¶_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Äç,0,,,,,Äç,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
â__,1,,,,,â__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸“,1,,,,,í¸“,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Æ’,2,,,,,Æ’,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í_”,1,,,,,í_”,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âŒ˜,3,,,,,âŒ˜,3,FALSE,FALSE,FALSE,FALSE,1,FALSE
Ù…,1,,,,,Ù…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Âœ,1,,,,,Âœ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸£,1,,,,,í¸£,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´¥,2,1,,,,í´¥,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_©,2,,,,,ï_©,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
íº¨,1,,,,,íº¨,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â¬,1,2,,,,Â¬,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_®,1,,,,,í_®,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸_,1,,,,,í¸_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´µ,1,,,,,í´µ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ãƒ®,2,,,,,ãƒ®,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â˜_,2,,,,,â˜_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ä_,0,4,,,,Ä_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Â_,2,,,,,Â_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í_ƒ,1,,,,,í_ƒ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â“„,1,,,,,â“„,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_‡,1,,,,,í_‡,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_‰,1,,,,,ï_‰,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ø±,1,,,,,Ø±,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Åç,1,,,,,Åç,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ÃŒ,2,,,,,ÃŒ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í±è,1,2,,,,í±è,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¿_,1,,,,,í¿_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ãÅ—,1,,,,,ãÅ—,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_¥,1,,,,,í_¥,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
É›,1,,,,,É›,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ãƒ_,1,,,,,ãƒ_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ãœ,3,2,,,,Ãœ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Í¡,1,2,,,,Í¡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¿_,1,,,,,í¿_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í·ª,1,,,,,í·ª,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã¬,2,1,,,,Ã¬,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í·º,2,1,,,,í·º,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Å_,0,,,,,Å_,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
Ã_,3,2,1,,,Ã_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¿_,1,,,,,í¿_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ÊÅ,1,,,,,ÊÅ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ì€,1,,,,,Ì€,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_…,1,,,,,í_…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_ˆ,1,,,,,í_ˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ÄŒ,0,,,,,ÄŒ,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
í¸_,1,,,,,í¸_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âŒê,1,,,,,âŒê,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í_•,1,2,,,,í_•,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í´”,1,,,,,í´”,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â†—,2,1,,,,â†—,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ø®,1,,,,,Ø®,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í¸_,1,2,,,,í¸_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â€¢,2,1,3,,,â€¢,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
à_¥,1,,,,,à_¥,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´_,1,,,,,í´_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âœ¨,1,,,,,âœ¨,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â_,2,1,,,,Â_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¸®,1,,,,,í¸®,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ø_,1,,,,,Ø_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í´´,1,,,,,í´´,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Î»,1,,,,,Î»,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â_,2,,,,,Â_,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Í€,2,,,,,Í€,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í¿ƒ,1,,,,,í¿ƒ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_ˆ,1,,,,,ï_ˆ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í±_,1,,,,,í±_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ãç,2,0,,,,Ãç,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
á…Œ,1,,,,,á…Œ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â—è,1,,,,,â—è,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â_ê,2,1,,,,â_ê,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
ï¸è,1,2,,,,ï¸è,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Åœ,4,,,,,Åœ,4,FALSE,FALSE,FALSE,FALSE,FALSE,1
â‰_,1,,,,,â‰_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã_,2,0,1,3,,Ã_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
_¨,2,,,,,_¨,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Ã_,0,,,,,Ã_,0,FALSE,1,FALSE,FALSE,FALSE,FALSE
Å_,4,0,,,,Å_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¶„,1,,,,,í¶„,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ä‡,4,2,,,,Ä‡,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¸‰,1,,,,,í¸‰,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ã€ç,1,,,,,ã€ç,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
æˆ‘,1,,,,,æˆ‘,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
âœ“,1,,,,,âœ“,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Â’,1,,,,,Â’,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ä—,1,2,,,,Ä—,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ê–,1,2,,,,Ê–,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¸™,1,,,,,í¸™,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ì›,2,,,,,Ì›,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í__,2,1,,,,í__,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â€ù,4,1,2,,,â€ù,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Î ,2,,,,,Î ,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ï_£,2,,,,,ï_£,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Â¢,2,1,,,,Â¢,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í¸©,2,1,,,,í¸©,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í_ª,1,2,,,,í_ª,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í´¯,1,,,,,í´¯,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï__,2,,,,,ï__,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
Â_,2,1,0,,,Â_,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
_µ,1,2,,,,_µ,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
â˜_,1,,,,,â˜_,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
í _,1,2,,,,í _,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ï€,2,,,,,Ï€,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í_ƒ,1,,,,,í_ƒ,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ã‚,2,1,,,,Ã‚,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE
í±…,1,,,,,í±…,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
Ë†,2,,,,,Ë†,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ãÅç,1,,,,,ãÅç,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
É‘,1,,,,,É‘,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
ï_“,1,,,,,ï_“,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
_”,2,,,,,_”,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
ï_¥,2,,,,,ï_¥,2,FALSE,FALSE,FALSE,1,FALSE,FALSE
í__,1,,,,,í__,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
â‰¡,1,,,,,â‰¡,1,FALSE,FALSE,1,FALSE,FALSE,FALSE
